HOLEID,X,Y,Z,FORMATION1,FORMATION2
53,2844125,29979478,1524.5,3,2
53,2844125,29979478,1539.5,2,3
53,2844125,29979478,1544.5,3,2
53,2844125,29979478,1654.5,2,3
53,2844125,29979478,1659.5,3,1
54,2844125,29979548,1429.5,2,3
54,2844125,29979548,1444.5,3,2
54,2844125,29979548,1454.5,2,3
54,2844125,29979548,1674.5,3,1
55,2844192,29978988,1669.5,4,1
56,2844192,29979058,1494.5,4,3
56,2844192,29979058,1609.5,3,4
56,2844192,29979058,1649.5,4,1
57,2844192,29979128,1484.5,4,3
57,2844192,29979128,1489.5,3,4
57,2844192,29979128,1494.5,4,3
57,2844192,29979128,1519.5,3,4
57,2844192,29979128,1539.5,4,3
57,2844192,29979128,1669.5,3,1
58,2844192,29979198,1579.5,4,3
58,2844192,29979198,1674.5,3,1
59,2844192,29979268,1464.5,3,4
59,2844192,29979268,1484.5,4,3
59,2844192,29979268,1499.5,3,2
59,2844192,29979268,1504.5,2,3
59,2844192,29979268,1514.5,3,2
59,2844192,29979268,1519.5,2,3
59,2844192,29979268,1549.5,3,4
59,2844192,29979268,1554.5,4,3
59,2844192,29979268,1609.5,3,4
59,2844192,29979268,1614.5,4,3
59,2844192,29979268,1619.5,3,4
59,2844192,29979268,1624.5,4,3
59,2844192,29979268,1629.5,3,4
59,2844192,29979268,1639.5,4,3
59,2844192,29979268,1669.5,3,1
60,2844192,29979338,1674.5,3,2
60,2844192,29979338,1684.5,2,1
61,2844192,29979408,1679.5,3,1
62,2844192,29979478,1564.5,2,3
62,2844192,29979478,1629.5,3,2
62,2844192,29979478,1674.5,2,1
63,2844192,29979548,1549.5,2,3
63,2844192,29979548,1599.5,3,2
63,2844192,29979548,1604.5,2,3
63,2844192,29979548,1609.5,3,2
63,2844192,29979548,1619.5,2,3
63,2844192,29979548,1689.5,3,1
64,2844259,29978988,1664.5,4,1
65,2844259,29979058,1534.5,4,3
65,2844259,29979058,1539.5,3,4
65,2844259,29979058,1544.5,4,3
65,2844259,29979058,1549.5,3,4
65,2844259,29979058,1554.5,4,3
65,2844259,29979058,1559.5,3,4
65,2844259,29979058,1669.5,4,1
65,2844259,29979058,1674.5,1,4
65,2844259,29979058,1689.5,4,1
66,2844259,29979128,1654.5,4,1
67,2844259,29979198,1644.5,4,3
67,2844259,29979198,1659.5,3,1
67,2844259,29979198,1664.5,1,3
67,2844259,29979198,1669.5,3,1
68,2844259,29979268,1489.5,4,3
68,2844259,29979268,1499.5,3,4
68,2844259,29979268,1504.5,4,3
68,2844259,29979268,1514.5,3,4
68,2844259,29979268,1599.5,4,3
68,2844259,29979268,1629.5,3,4
68,2844259,29979268,1664.5,4,1
69,2844259,29979338,1429.5,3,4
69,2844259,29979338,1444.5,4,3
69,2844259,29979338,1449.5,3,4
69,2844259,29979338,1464.5,4,3
69,2844259,29979338,1469.5,3,4
69,2844259,29979338,1479.5,4,3
69,2844259,29979338,1649.5,3,1
69,2844259,29979338,1654.5,1,3
69,2844259,29979338,1664.5,3,1
70,2844259,29979408,1659.5,3,1
70,2844259,29979408,1664.5,1,3
71,2844259,29979478,1459.5,2,3
71,2844259,29979478,1659.5,3,1
72,2844259,29979548,1564.5,2,1
72,2844259,29979548,1569.5,1,3
72,2844259,29979548,1574.5,3,2
72,2844259,29979548,1579.5,2,3
72,2844259,29979548,1674.5,3,1
